Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,negative regulation of retinoic acid receptor signaling pathway (GO:0048387),1/7,0.0489960875365205,0.9999961471945628,0,0,23.299295774647888,70.2710215907855,PRAME
GO_Biological_Process_2021,cardiac left ventricle morphogenesis (GO:0003214),1/14,0.0956076580490527,0.9999961471945628,0,0,10.74972914409534,25.235014503062555,NPY5R
GO_Biological_Process_2021,regulation of retinoic acid receptor signaling pathway (GO:0048385),1/14,0.0956076580490527,0.9999961471945628,0,0,10.74972914409534,25.235014503062555,PRAME
GO_Biological_Process_2021,cardiac ventricle morphogenesis (GO:0003208),1/44,0.2709919772329742,0.9999961471945628,0,0,3.245004913200131,4.2368927889372525,NPY5R
GO_Biological_Process_2021,adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway (GO:0007193),1/60,0.3502572568516675,0.9999961471945628,0,0,2.363093817140129,2.4790918893063223,NPY1R
GO_Biological_Process_2021,"G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger (GO:0007187)",1/65,0.3732259074309204,0.9999961471945628,0,0,2.1779269366197185,2.146502484169713,NPY1R
GO_Biological_Process_2021,negative regulation of transforming growth factor beta receptor signaling pathway (GO:0030512),1/68,0.3866181680863014,0.9999961471945628,0,0,2.080092495270128,1.9767487549555067,PEG10
GO_Biological_Process_2021,negative regulation of developmental process (GO:0051093),1/77,0.425113617220242,0.9999961471945628,0,0,1.8329318013343217,1.5678876837792943,PRAME
GO_Biological_Process_2021,regulation of transforming growth factor beta receptor signaling pathway (GO:0017015),1/100,0.5129338125908852,0.9999961471945628,0,0,1.4054630815194196,0.9382990468495096,PEG10
GO_Biological_Process_2021,negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090101),1/108,0.5402444202472914,0.9999961471945628,0,0,1.2998552060023694,0.80036454073392,PEG10
GO_Biological_Process_2021,regulation of cell differentiation (GO:0045595),1/156,0.6749512122979163,0.9999961471945628,0,0,0.8951385733757383,0.3518922828294865,PRAME
GO_Biological_Process_2021,adenylate cyclase-modulating G protein-coupled receptor signaling pathway (GO:0007188),1/165,0.6954389030617865,0.9999961471945628,0,0,0.8456286499484713,0.3071425726022542,NPY1R
GO_Biological_Process_2021,negative regulation of cell differentiation (GO:0045596),1/191,0.7476976400245294,0.9999961471945628,0,0,0.7289473684210527,0.2119462637384102,PRAME
GO_Biological_Process_2021,proteasomal protein catabolic process (GO:0010498),1/205,0.7720414765410047,0.9999961471945628,0,0,0.6784382767191384,0.1755235185628088,PRAME
GO_Biological_Process_2021,anterograde trans-synaptic signaling (GO:0098916),1/244,0.8282340388434676,0.9999961471945628,0,0,0.5684228829768736,0.1071246973894842,NPY5R
GO_Biological_Process_2021,negative regulation of signal transduction (GO:0009968),1/267,0.8546776033340475,0.9999961471945628,0,0,0.5186646192947156,0.08144639959987,PRAME
GO_Biological_Process_2021,proteolysis (GO:0006508),1/287,0.874359621864035,0.9999961471945628,0,0,0.4819019009159854,0.0647018461343559,PRSS21
GO_Biological_Process_2021,chemical synaptic transmission (GO:0007268),1/306,0.8905976637618008,0.9999961471945628,0,0,0.4514430847379358,0.0523053286112077,NPY5R
GO_Biological_Process_2021,protein polyubiquitination (GO:0000209),1/314,0.8967944957446248,0.9999961471945628,0,0,0.4397246096386626,0.0478985618869144,PRAME
GO_Biological_Process_2021,proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161),1/321,0.9019300071710088,0.9999961471945628,0,0,0.4299515845070422,0.044378897131997,PRAME
GO_Biological_Process_2021,ubiquitin-dependent protein catabolic process (GO:0006511),1/354,0.9229221503547403,0.9999961471945628,0,0,0.3890994693372701,0.0312098210328948,PRAME
GO_Biological_Process_2021,negative regulation of programmed cell death (GO:0043069),1/381,0.9367279760126456,0.9999961471945628,0,0,0.3609525574499629,0.0235927083487933,PRAME
GO_Biological_Process_2021,negative regulation of nucleic acid-templated transcription (GO:1903507),1/464,0.96556737304802,0.9999961471945628,0,0,0.2949837252456423,0.0103360524691362,PRAME
GO_Biological_Process_2021,positive regulation of cell population proliferation (GO:0008284),1/474,0.9680067415942734,0.9999961471945628,0,0,0.2885983979989875,0.009384131099935,PRAME
GO_Biological_Process_2021,negative regulation of apoptotic process (GO:0043066),1/485,0.9704921960844212,0.9999961471945628,0,0,0.2818792922826214,0.0084428253170711,PRAME
GO_Biological_Process_2021,protein ubiquitination (GO:0016567),1/525,0.9780185360972748,0.9999961471945628,0,0,0.2598242124502741,0.0057750234067716,PRAME
GO_Biological_Process_2021,negative regulation of cellular macromolecule biosynthetic process (GO:2000113),1/547,0.98130988779541,0.9999961471945628,0,0,0.2490713511840272,0.0046992241016627,PRAME
GO_Biological_Process_2021,negative regulation of cellular process (GO:0048523),1/566,0.9837553545371348,0.9999961471945628,0,0,0.2404586812912875,0.003938241005954,PRAME
GO_Biological_Process_2021,positive regulation of cellular process (GO:0048522),1/625,0.9894991826126308,0.9999961471945628,0,0,0.2170571505958829,0.0022913290813096,PRAME
GO_Biological_Process_2021,regulation of apoptotic process (GO:0042981),1/742,0.9955962691864916,0.9999961471945628,0,0,0.1816730341563551,0.0008018059058207606,PRAME
GO_Biological_Process_2021,regulation of cell population proliferation (GO:0042127),1/764,0.9962621764653568,0.9999961471945628,0,0,0.1762317021394421,0.0006599571753503996,PRAME
GO_Biological_Process_2021,"negative regulation of transcription, DNA-templated (GO:0045892)",1/948,0.9990570573525328,0.9999961471945628,0,0,0.1406219789699124,0.00013266101684133197,PRAME
GO_Biological_Process_2021,"regulation of transcription, DNA-templated (GO:0006355)",1/2244,0.9999961471945628,0.9999961471945628,0,0,0.0553019409367484,2.1306802918630718e-07,PRAME
