Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Reactome_2022,Peptide Ligand-Binding Receptors R-HSA-375276,2/196,0.4098184339682542,0.9999959422539604,0,0,1.4376690794764937,1.2824598515234205,NPY5R;NPY1R
Reactome_2022,Post-translational Modification: Synthesis Of GPI-anchored Proteins R-HSA-163125,1/92,0.4840128929245988,0.9999959422539604,0,0,1.5296393747097972,1.1099732280676076,PRSS21
Reactome_2022,G Alpha (I) Signaling Events R-HSA-418594,2/312,0.6562439351303181,0.9999959422539604,0,0,0.8943948753145733,0.3767394303505832,NPY5R;NPY1R
Reactome_2022,Class A/1 (Rhodopsin-like Receptors) R-HSA-373076,2/327,0.6813885739196927,0.9999959422539604,0,0,0.8524604473540643,0.3270230441364166,NPY5R;NPY1R
Reactome_2022,GPCR Ligand Binding R-HSA-500792,2/458,0.8425413369654785,0.9999959422539604,0,0,0.6034901082493468,0.1033975011447742,NPY5R;NPY1R
Reactome_2022,GPCR Downstream Signaling R-HSA-388396,2/619,0.9385244531601444,0.9999959422539604,0,0,0.4423141027851535,0.0280632232116379,NPY5R;NPY1R
Reactome_2022,Signaling By GPCR R-HSA-372790,2/689,0.9599065187497086,0.9999959422539604,0,0,0.3958004273901329,0.0161959063367772,NPY5R;NPY1R
Reactome_2022,Post-translational Protein Modification R-HSA-597592,1/1383,0.999962599189199,0.9999959422539604,0,0,0.0941430056460325,3.521090588631675e-06,PRSS21
Reactome_2022,Metabolism Of Proteins R-HSA-392499,1/1890,0.9999957356302964,0.9999959422539604,0,0,0.0669852891834863,2.856506468472638e-07,PRSS21
Reactome_2022,Signal Transduction R-HSA-162582,2/2465,0.9999959422539604,0.9999959422539604,0,0,0.1001719059095895,4.064729791573941e-07,NPY5R;NPY1R
