gene,cluster_mean,other_mean,log2fc,pvalue,padj
D64149,2.007690583002903,1.1935181286357566,0.8141724543671465,3.935723684093385e-05,0.05549527031546063
SNORA22,-1.9203275552726726,-1.6202358298306327,-0.3000917254420399,0.006837205946353673,0.29975903627017914
Mir_584,-2.4215355622427683,-2.11084709188238,-0.31068847036038827,0.001992628700162175,0.18531602495642788
MIRLET7I,-2.597060206235928,-2.2788151496209292,-0.3182450566149986,0.005344812762844051,0.2735781856138999
MIR1273F,-2.2953299529264397,-1.9763864177385577,-0.318943535187882,0.0039594123747538935,0.24202411650492742
MIR200B,-2.81725585776411,-2.492024872329723,-0.3252309854343869,0.0007207901674299174,0.12934411928909534
SNORD94,-1.7125436419431463,-1.3872627300192182,-0.32528091192392816,0.0027941522130077653,0.21085943289605058
SNORD124,-2.2015986199085833,-1.874586723449002,-0.3270118964595814,0.004451673713403321,0.2536193593246951
LINC00993,1.732593719154838,2.0621859931845234,-0.3295922740296855,0.0041133429220634645,0.24466949312405012
SNORA45,-1.5428541864422702,-1.2106940234611718,-0.3321601629810984,0.004558344088369606,0.2547744043371917
JA429829,10.744462179605733,11.093107881156072,-0.348645701550339,0.0005391038164600646,0.12180643659533605
SNORA77,-1.3752607870488627,-1.0225584547892044,-0.3527023322596583,0.006709684987587624,0.2979775930099166
MIR622,-1.7378811312537683,-1.376318160948134,-0.3615629703056342,0.006585751322297763,0.295020630715124
MIR3677,-2.843753764081694,-2.4705519464234373,-0.37320181765825655,0.0012652890185297179,0.15605363159422098
MIR3908,-1.7387033668085377,-1.3622671855768063,-0.3764361812317314,0.002788972862261912,0.21085943289605058
ANKRD30A,2.1659884098215647,2.548316471873623,-0.3823280620520584,0.0010170267027243764,0.1470362127350621
SNORD14D,-2.3380250011080728,-1.953293136691929,-0.3847318644161437,0.0025106061021183423,0.20213280757204719
MIR4472-2,-2.486655363186629,-2.0948392183770324,-0.3918161448095967,0.0027219509870215746,0.20898760501099725
MIR1254-1,-1.2879153197318904,-0.8799874632977249,-0.4079278564341655,0.004470077157707245,0.2536193593246951
RNY1,-1.7575315998358787,-1.3491667483107008,-0.4083648515251779,0.0016246490027041925,0.16827343176659926
MIR7641-2,-2.78496769094005,-2.355386338786341,-0.4295813521537091,0.002473091348839574,0.20087359074193015
L13714,0.13108073662298655,0.5645707888681298,-0.43349005224514325,0.0049425060166749055,0.26157575902956887
MIR324,-1.7773730797597513,-1.334014392822383,-0.44335868693736824,0.003910552144746824,0.24139838389522145
MIR3135B,-2.588899618279302,-2.143142836530791,-0.4457567817485111,0.0005308186580807341,0.12136087319749522
MIR6514,-2.0108607667896776,-1.5555823156320632,-0.45527845115761445,0.003242679756057213,0.2264373544586106
SNORD58C,-0.6785662274738821,-0.20866984992835944,-0.4698963775455226,0.006018116680108329,0.28237098882855577
MIR1972-1,-2.5002035465201526,-2.0273983219100757,-0.4728052246100769,0.0002642417343453722,0.1006679986623124
SNORD46,0.3563159415013015,0.8294750273803516,-0.4731590858790501,0.004821704951353536,0.25958682441807535
MIR8078,-1.4023439160938789,-0.9218282752804485,-0.48051564081343034,0.006025273156465508,0.28237098882855577
DQ593032,-1.8474383544910582,-1.3655156578886154,-0.4819226966024428,0.001081681612535335,0.15151570001718806
contactin 1,-0.4781916148725688,0.03463308747106551,-0.5128247023436343,3.0848719357397014e-05,0.05549527031546063
DQ576653,-2.664349309761117,-2.0909136538494772,-0.5734356559116396,0.0008171613447337295,0.1331663250288356
U7,-1.8238668630662387,-1.250372229811266,-0.5734946332549726,0.003664930151396677,0.2366066360442187
SNORD42A,-0.9746483603714805,-0.3937262431887705,-0.58092211718271,0.003447824819982054,0.2286157269125032
DQ600552,-1.0959855992185104,-0.5150570238431429,-0.5809285753753675,0.0034216546459402168,0.2286157269125032
MIR4523,-0.7761845221428566,-0.19390042647265265,-0.582284095670204,0.001508885921819077,0.1669033718168204
SNORD35A,1.3183787988782063,1.9330313313625491,-0.6146525324843428,0.0011247605493316937,0.15323791252227448
SNORD60,-0.040093416873899404,0.681972774729501,-0.7220661916034005,0.00015712505966071616,0.07915414988598053
MIR631,0.43247232710922623,1.1616905318547524,-0.7292182047455261,0.0003281717063938991,0.1091454882180758
MIR6087,-1.0365655664966102,-0.21822176839495566,-0.8183437981016546,0.00029356389869818883,0.10535871782929765
DQ584698,2.5847359004818617,3.9827977015075873,-1.3980618010257255,3.723881645389352e-08,0.0011493760698494235
