expression_sample,clinical_sample,position,match_type,hash_signature
TCGA-A8-A0A7-01,UNMATCHED,0,unmatched,0f2352eee8fc41e9a0f02f29c0c37845
TCGA-A8-A07G-01,UNMATCHED,1,unmatched,d69f801971f9cfd3dc3f58bf306709b0
TCGA-A8-A08R-01,UNMATCHED,2,unmatched,e3930f69eefecd1873ad647c5277df72
TCGA-A8-A06Y-01,UNMATCHED,3,unmatched,db2258d03b5ed3e28f6cddea0530f992
TCGA-A8-A08B-01,UNMATCHED,4,unmatched,d88cf7457f8f4ad3a8102862b8f054b0
TCGA-A2-A04T-01,UNMATCHED,5,unmatched,388295effc29eda62d2fbf7084c2884a
TCGA-A2-A0EQ-01,UNMATCHED,6,unmatched,eee0bcd35361a1cd5fa089ccefa0f775
TCGA-A2-A0CQ-01,UNMATCHED,7,unmatched,f63ec45d7d5be95789e1206fab74c18b
TCGA-BH-A0EB-01,UNMATCHED,8,unmatched,06428026a986d778966614a890c5ebeb
TCGA-A2-A04P-01,UNMATCHED,9,unmatched,f06a45cabe9cc3dee50837d0e282a6b6
TCGA-BH-A0E7-01,UNMATCHED,10,unmatched,6f6524f1d756915386a7876bc3fcc52e
TCGA-A8-A08T-01,UNMATCHED,11,unmatched,83dd995863b350e6412bfc70563351ca
TCGA-A8-A08G-01,UNMATCHED,12,unmatched,c4f3eb451f7a74388973e1c37b60c598
TCGA-A8-A09M-01,UNMATCHED,13,unmatched,1f1bc0e308d10c21fd4bbab638d6e135
TCGA-A8-A0A4-01,UNMATCHED,14,unmatched,b09443ef42ce93aaf5e2fe44edfc2d13
TCGA-BH-A0BV-01,UNMATCHED,15,unmatched,13d1ca9a36f91d3c0e460aa6070d8dd9
TCGA-AN-A04D-01,UNMATCHED,16,unmatched,9ca3faf37c1281907fecc8d1aecbea93
TCGA-A2-A0D2-01,UNMATCHED,17,unmatched,6bce4f73ab422a2e1cb8c4e127106c52
TCGA-B6-A0IC-01,UNMATCHED,18,unmatched,f0f6e543cd4cd3f3e286c8c74a89cfae
TCGA-A8-A06U-01,UNMATCHED,19,unmatched,540dbe7a84930ab0a25f53a31afd1b8f
TCGA-AN-A0FD-01,UNMATCHED,20,unmatched,b2d63c590535bea9fe31f65563fc296a
TCGA-A7-A0CE-01,UNMATCHED,21,unmatched,6e008780660b43d7b1b85bcdf7bbc1e5
TCGA-A2-A0CX-01,UNMATCHED,22,unmatched,68521c08a152b05f571bd960525e6f4c
TCGA-A2-A04Q-01,UNMATCHED,23,unmatched,7708a2bdeed494930a94c5bc012f24e2
TCGA-A2-A0CM-01,UNMATCHED,24,unmatched,3d9b9de64bef9cf638b3aa82d0375703
TCGA-A8-A081-01,UNMATCHED,25,unmatched,0642a1b72f79b8b61302fe958ec7eac0
TCGA-A8-A09A-01,UNMATCHED,26,unmatched,a4217b7eee615e58c56de590bfbd8f79
TCGA-A8-A09X-01,UNMATCHED,27,unmatched,02b2ea88d6d16d68f41ffa68f05ec577
TCGA-A8-A07W-01,UNMATCHED,28,unmatched,b459d725a3ca4b8e0356d6d6add80950
TCGA-A2-A0ER-01,UNMATCHED,29,unmatched,2337fa1c45ebfe13b2632ff3e4ad2fdc
TCGA-AN-A04A-01,UNMATCHED,30,unmatched,6f6dea906839bafd43a3d491e8bb0d82
TCGA-A8-A06T-01,UNMATCHED,31,unmatched,d2bdff0f4f0d0b45ecf07a2a4f5a16b0
TCGA-A8-A07Z-01,UNMATCHED,32,unmatched,c852d7c43bbc97bd92cc685f926f25d0
TCGA-A8-A08X-01,UNMATCHED,33,unmatched,810c23923955d1a6f03775d881ffc3e9
TCGA-A8-A0AB-01,UNMATCHED,34,unmatched,d87314137e964dd2d519c45c5a3762fa
TCGA-BH-A0DZ-01,UNMATCHED,35,unmatched,6de85936856308197b0a9da3d0cfbfa1
TCGA-AN-A0FV-01,UNMATCHED,36,unmatched,fe72e7322035e8f59e3a6b1156547d11
TCGA-B6-A0IG-01,UNMATCHED,37,unmatched,b168e58629fd6128f39c911400be3c7e
TCGA-A8-A09I-01,UNMATCHED,38,unmatched,7bd2eab8aed50cb75c10e3da82640a8e
TCGA-AN-A0FG-01,UNMATCHED,39,unmatched,16d09820db03accdd73d66e619908732
TCGA-B6-A0I6-01,UNMATCHED,40,unmatched,a792cb2ec6031c0f58cb5b6b6f1d64eb
TCGA-AN-A0FY-01,UNMATCHED,41,unmatched,c4b84f1b2edd8982487294fe66c9f2b5
